instance,write_anomaly_count,write_anomaly_ratio,write_ops_count,write_ops_ratio,total_packets,unique_write_targets_count,anomaly_score_0.2,anomaly_0.2
137,0,0.0,5540,0.7459270230241013,7427,,-0.13912789870563302,-1
138,0,0.0,5810,0.7373096446700508,7880,,-0.13912789870563302,-1
139,2,0.00025166729583490623,5932,0.7464451994463319,7947,1.0,-0.13912789870563302,-1
140,1,0.00012532898859506203,5951,0.7458328111292142,7979,1.0,-0.13912789870563302,-1
141,2,0.00025230225810521004,5912,0.7458054749590008,7927,1.0,-0.13912789870563302,-1
142,0,0.0,5920,0.7493670886075949,7900,,-0.13912789870563302,-1
143,1,0.00012610340479192938,5921,0.7466582597730139,7930,1.0,-0.13912789870563302,-1
144,3,0.0003936491274111009,5693,0.7470148274504658,7621,2.0,-0.13912789870563302,-1
145,5,0.0006503642039542144,5745,0.7472684703433923,7688,2.0,-0.13912789870563302,-1
146,1,0.00013197835554968986,5671,0.7484492543222911,7577,1.0,-0.13912789870563302,-1
147,0,0.0,5710,0.7500328385656114,7613,,-0.11737401232977551,-1
148,0,0.0,0,0.0,16,,-0.13912789870563302,-1
