instance,write_anomaly_count,write_anomaly_ratio,write_ops_count,write_ops_ratio,total_packets,unique_write_targets_count,anomaly_score_0.05,anomaly_0.05,anomaly_score_0.1,anomaly_0.1,anomaly_score_0.15,anomaly_0.15,anomaly_score_0.2,anomaly_0.2,anomaly_score_0.25,anomaly_0.25,anomaly_score_0.3,anomaly_0.3,anomaly_score_0.35,anomaly_0.35,label,dominant_node
14,15,0.001990974250066366,5655,0.7505972922750199,7534,3.0,-0.004832759611919979,-1,-0.05025758970560312,-1,-0.07705742281905514,-1,-0.09853582822386975,-1,-0.1088279267951271,-1,-0.11017097989953872,-1,-0.11359041909432821,-1,1,"""MCDData"".""Conveyor2_Speed"""
15,2,0.00026253609871357313,5692,0.747177736938829,7618,1.0,-0.045424830093683255,-1,-0.0908496601873664,-1,-0.11764949330081842,-1,-0.13912789870563302,-1,-0.14941999727689037,-1,-0.150763050381302,-1,-0.15418248957609149,-1,1,"""MCDData"".""Conveyor3_Speed"""
16,4,0.000543773790103317,5494,0.7468733007069059,7356,2.0,-0.045424830093683255,-1,-0.0908496601873664,-1,-0.11764949330081842,-1,-0.13912789870563302,-1,-0.14941999727689037,-1,-0.150763050381302,-1,-0.15418248957609149,-1,1,"""MCDData"".""Conveyor2_Speed"""
17,3,0.00039936102236421724,5613,0.7472044728434505,7512,2.0,-0.045424830093683255,-1,-0.0908496601873664,-1,-0.11764949330081842,-1,-0.13912789870563302,-1,-0.14941999727689037,-1,-0.150763050381302,-1,-0.15418248957609149,-1,1,"""MCDData"".""Conveyor3_Speed"""
18,30,0.00482392667631452,4630,0.7444926837112076,6219,3.0,-0.045424830093683255,-1,-0.0908496601873664,-1,-0.11764949330081842,-1,-0.13912789870563302,-1,-0.14941999727689037,-1,-0.150763050381302,-1,-0.15418248957609149,-1,1,"""MCDData"".""Conveyor2_Speed"""
19,0,0.0,4860,0.7512753130313804,6469,,0.01863293037875846,1,-0.026791899714924683,-1,-0.053591732828376704,-1,-0.07507013823319131,-1,-0.08536223680444865,-1,-0.08670528990886028,-1,-0.09012472910364977,-1,1,
20,3,0.0003956217855729922,5663,0.746802057233285,7583,2.0,-0.045424830093683255,-1,-0.0908496601873664,-1,-0.11764949330081842,-1,-0.13912789870563302,-1,-0.14941999727689037,-1,-0.150763050381302,-1,-0.15418248957609149,-1,1,"""MCDData"".""Conveyor3_Speed"""
21,10,0.0012616704516780217,5960,0.751955589200101,7926,1.0,0.03762234602122727,1,-0.007802484072455873,-1,-0.034602317185907894,-1,-0.0560807225907225,-1,-0.06637282116197984,-1,-0.06771587426639147,-1,-0.07113531346118096,-1,1,"""MCDData"".""GetBox_signal"""
22,3,0.00039719316827750565,5683,0.7524162584403549,7553,1.0,0.04664583090547747,1,0.001221000811794326,1,-0.025578832301657695,-1,-0.0470572377064723,-1,-0.057349336277729646,-1,-0.058692389382141275,-1,-0.06211182857693076,-1,1,"""MCDData"".""GetBox_signal"""
23,4,0.000526592943654555,5714,0.7522380200105319,7596,1.0,0.044669308301693356,1,-0.0007555217919897883,-1,-0.02755535490544181,-1,-0.04903376031025641,-1,-0.05932585888151376,-1,-0.06066891198592539,-1,-0.06408835118071488,-1,1,"""MCDData"".""GetBox_signal"""
